,id,title,label,word count,SECTION_CLEANED
0,politifact14984,National Federation of Independent Business,1,5,National Federation Independent Business
1,politifact12944,comments in Fayetteville NC,1,4,comment Fayetteville NC
2,politifact333,"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",1,14,Romney make pitch hop close deal Elections The Rocky Mountain News
3,politifact4358,Democratic Leaders Say House Democrats Are United Against GOP Default Act,1,11,Democratic Leaders Say House Democrats Are United Against GOP Default Act
4,politifact779,"Budget of the United States Government, FY 2008",1,8,Budget United States Government FY 2008
5,politifact14064,Donald Trump exaggerates when he says China has 'total control' over North Korea,1,13,Donald Trump exaggerate say China total control North Korea
6,politifact14474,25th Amendment,1,2,25th Amendment
7,politifact5276,子供たちのコト。私のコト。,1,1,子供たちのコト。私のコト。
8,politifact1313,"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",1,9,Briefing White House Press Secretary Robert Gibbs 91009
9,politifact937,A Solar Grand Plan: Scientific American,1,6,A Solar Grand Plan Scientific American
10,politifact8227,Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,1,15,Covering Young Adults Under Affordable Care Act The Importance Outreach Medicaid Expansion
11,politifact1519,"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",1,9,Harry Reid Says GOP Should Stop Crying About Reconciliation
12,politifact13068,Political TV Ad Archive » PolAd,1,6,Political TV Ad Archive » PolAd
13,politifact11747,Bureau of Labor Statistics Data,1,5,Bureau Labor Statistics Data
14,politifact7293,Summary of the Affordable Care Act,1,6,Summary Affordable Care Act
15,politifact1783,'This Week' Transcript: Holder and Giuliani,1,6,This Week Transcript Holder Giuliani
16,politifact9691,Impeachment Talk Becomes a Cynical Game,1,6,Impeachment Talk Becomes Cynical Game
17,politifact999,Preventing the Flu: Good Health Habits Can Help Stop Germs,1,10,Preventing Flu Good Health Habits Can Help Stop Germs
18,politifact13420,Las Vegas campaign rally,1,4,Las Vegas campaign rally
19,politifact423,MoveOn.org Political Action: 10 things to know about McCain,1,9,MoveOnorg Political Action 10 things know McCain
20,politifact9734,Rand Paul Campaigns in Iowa for Miller-Meeks,1,7,Rand Paul Campaigns Iowa MillerMeeks
21,politifact13087,Hispanic Populations Share of Wealth Likely to Increase by 2025,1,10,Hispanic Populations Share Wealth Likely Increase 2025
22,politifact13132,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,1,17,Hillary Clinton say gun exceed next nine categories lead cause death young black men
23,politifact4809,Already a lost decade: Working-age household income down more than 10% since 2000,1,13,Already lose decade Workingage household income 10 since 2000
24,politifact1084,U.S. Senate: Supreme Court Nominations: present-1789,1,6,US Senate Supreme Court Nominations present1789
25,politifact13260,PolitiFact’s annotated transcript of the second presidential debate,1,8,PolitiFacts annotate transcript second presidential debate
26,politifact1325,Obamas comments on capandtrade costs,1,5,Obamas comment capandtrade cost
27,politifact1624,Des Moines Register,1,3,Des Moines Register
28,politifact1823,The Tonight Show with Jay Leno,1,6,The Tonight Show Jay Leno
29,politifact2166,'This Week' Transcript: Pelosi and Gates,1,6,This Week Transcript Pelosi Gates
30,politifact58,Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,1,12,Losing Ground Foreclosures Subprime Market Their Cost Homeowners
31,politifact13303,Joint DHS and ODNI Election Security Statement,1,7,Joint DHS ODNI Election Security Statement
32,politifact667,U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,1,9,US Senate US Senate Roll Call Votes 110th Congress
33,politifact3892,Palin-Huey,1,1,PalinHuey
34,politifact6641,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",1,13,Employment Hours Earnings Current Employment Statistics survey National Home Page
35,politifact4088,"No, We Can’t? Or Won’t?",1,5,No We Cant Or Wont
36,politifact513,Barack Obama’s Remarks in St. Paul,1,6,Barack Obamas Remarks St Paul
37,politifact14070,letter to Chaffetz and Cummings,1,5,letter Chaffetz Cummings
38,politifact806,The Arena - Politico's daily debate with policymakers and opinion shapers,1,11,The Arena Politicos daily debate policymakers opinion shapers
39,politifact9196,The Economic Burden Caused by Tax Code Complexity,1,8,The Economic Burden Caused Tax Code Complexity
40,politifact1436,McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,1,12,McDonnell Letter Urges No Delay Virginia Offshore Energy Exploration Development
41,politifact12945,"To young people who are undocumented: This is your country, too.",1,11,To young people undocumented This country
42,politifact14036,Transcript of AP interview with Trump,1,6,Transcript AP interview Trump
43,politifact537,Change We Can Believe In,1,5,Change We Can Believe In
44,politifact118,Infrastructure Report Card 2005,1,4,Infrastructure Report Card 2005
45,politifact9576,"GOP Task Force, Lone Democrat Eye Trafficking Law",1,8,GOP Task Force Lone Democrat Eye Trafficking Law
46,politifact356,Dr. James Dobson,1,3,Dr James Dobson
47,politifact401,McCain: McSame as Bush,1,4,McCain McSame Bush
48,politifact384,john.he.is,1,1,johnheis
49,politifact12148,Remarks on counterterrorism at Stanford University,1,6,Remarks counterterrorism Stanford University
50,politifact12411,iQ media Clip Player,1,4,iQ media Clip Player
51,politifact5778,Remarks by the President on Increasing Oversight on Manipulation in Oil Markets,1,12,Remarks President Increasing Oversight Manipulation Oil Markets
52,politifact3341,U.S. Army's Involvement in Motorsports,1,5,US Armys Involvement Motorsports
